ID;RegioS;Perioden;BevolkingAanHetBeginVanDePeriode_1;LevendGeborenKinderen_2;Overledenen_3;TotaleVestiging_4;VestigingVanuitEenAndereGemeente_5;Immigratie_6;TotaalVertrekInclAdmCorrecties_7;VertrekNaarAndereGemeente_8;EmigratieInclusiefAdmCorrecties_9;OverigeCorrecties_10;Bevolkingsgroei_11;BevolkingsgroeiRelatief_12;BevolkingsgroeiSinds1Januari_13;BevolkingsgroeiSinds1JanuariRela_14;BevolkingAanHetEindeVanDePeriode_15
115054;GM0344;2018MM02;347601;350;184;2633;1728;905;2193;1828;365;;606;    0.17;724;    0.21;348207
115055;GM0344;2018MM03;348207;381;166;2508;2122;386;2108;1796;312;;615;    0.18;1339;    0.39;348822
115056;GM0344;2018MM04;348822;389;160;1951;1609;342;1824;1475;349;;356;    0.10;1695;    0.49;349178
115057;GM0344;2018MM05;349178;407;157;1902;1531;371;2139;1518;621;;13;    0.00;1708;    0.49;349191
115058;GM0344;2018MM06;349191;392;142;1977;1582;395;2330;1679;651;;-103;   -0.03;1605;    0.46;349088
115059;GM0344;2018MM07;349088;423;136;2339;1818;521;2585;2083;502;;41;    0.01;1646;    0.47;349129
115060;GM0344;2018MM08;349129;423;160;2858;2213;645;2864;2300;564;;257;    0.07;1903;    0.55;349386
115061;GM0344;2018MM09;349386;457;117;3486;1951;1535;2391;1901;490;;1435;    0.41;3338;    0.96;350821
115062;GM0344;2018MM10;350821;450;160;2840;1935;905;2110;1815;295;;1020;    0.29;4358;    1.25;351841
115063;GM0344;2018MM11;351841;389;124;2267;1744;523;1889;1646;243;;643;    0.18;5001;    1.44;352484
115064;GM0344;2018MM12;352484;369;156;2062;1707;355;1964;1670;294;0;311;    0.09;5312;    1.53;352795
115065;GM0344;2018JJ00;347483;4823;1840;29175;21871;7304;26846;21573;5273;0;5312;    1.53;5312;    1.53;352795
115066;GM0344;2019MM01;352795;407;158;2363;1827;536;2471;1924;547;;141;    0.04;141;    0.04;352936
115067;GM0344;2019MM02;352936;342;147;2637;1647;990;2376;1810;566;;456;    0.13;597;    0.17;353392
